iter	Passed	Remaining
0	19	1940
1	36	1789
2	55	1783
3	74	1780
4	92	1751
5	111	1742
6	128	1711
7	146	1683
8	164	1660
9	181	1633
10	199	1616
11	217	1591
12	234	1571
13	252	1551
14	270	1531
15	288	1514
16	306	1494
17	325	1482
18	345	1470
19	364	1456
20	383	1440
21	401	1424
22	420	1406
23	438	1389
24	458	1374
25	475	1352
26	494	1337
27	513	1319
28	531	1301
29	549	1281
30	566	1261
31	584	1241
32	601	1221
33	619	1201
34	636	1181
35	653	1161
36	679	1156
37	702	1145
38	721	1128
39	739	1108
40	756	1088
41	773	1068
42	791	1048
43	808	1029
44	824	1008
45	842	988
46	859	968
47	875	948
48	892	928
49	908	908
50	924	888
51	941	868
52	957	848
53	975	830
54	990	810
55	1007	791
56	1023	771
57	1039	752
58	1055	733
59	1071	714
60	1087	695
61	1103	676
62	1120	658
63	1137	640
64	1154	621
65	1170	602
66	1186	584
67	1203	566
68	1219	547
69	1235	529
70	1251	511
71	1268	493
72	1284	474
73	1300	456
74	1316	438
75	1332	420
76	1348	402
77	1364	384
78	1380	366
79	1396	349
80	1412	331
81	1428	313
82	1444	295
83	1460	278
84	1475	260
85	1491	242
86	1507	225
87	1524	207
88	1540	190
89	1556	172
90	1573	155
91	1590	138
92	1606	120
93	1622	103
94	1638	86
95	1655	68
96	1672	51
97	1688	34
98	1705	17
99	1721	0
